case_title,location,date,defendant,charges,verdict,notes
OJ Simpson Murder Trial,Los Angeles California USA,1994-1995,OJ Simpson,Murder of Nicole Brown Simpson and Ron Goldman,Not guilty (criminal) - liable (civil 1997),"Dubbed the trial of the century. Jury deliberated only 4 hours before acquitting. The case exposed racial divisions and police misconduct in the LAPD. Simpson was later imprisoned for armed robbery in Nevada."
Casey Anthony Trial,Orlando Florida USA,2008-2011,Casey Anthony,First-degree murder of daughter Caylee Anthony,Not guilty of murder - guilty of lying to police,"2-year-old Caylee's body found in woods. Casey had partied for 31 days without reporting her missing. Acquittal shocked the nation. Anthony fled to Florida after release."
George Zimmerman Trial,Sanford Florida USA,2012-2013,George Zimmerman,Second-degree murder of Trayvon Martin,Not guilty,"The shooting of 17-year-old Trayvon Martin sparked nationwide protests. Zimmerman claimed self-defense under Stand Your Ground. The verdict galvanized the Black Lives Matter movement."
Menendez Brothers Trial,Beverly Hills California USA,1989-1996,Erik and Lyle Menendez,Murder of their parents Jose and Kitty Menendez,Guilty - life without parole (1996),"Brothers shot their parents claiming decades of abuse. First trial ended in hung jury. Second trial banned abuse evidence. Case re-examined in 2024 with potential resentencing."
Amanda Knox Trial,Perugia Italy,2007-2015,Amanda Knox,Murder of Meredith Kercher,Acquitted (final 2015),"American student Knox was convicted then acquitted then re-convicted and finally acquitted by Italy's highest court after 8 years. The case raised questions about Italian forensic standards."
Phil Spector Trial,Los Angeles California USA,2003-2009,Phil Spector,Murder of actress Lana Clarkson,Guilty - 19 years to life,"Music producer Spector shot actress Clarkson in his mansion. He claimed it was an accidental suicide. First trial deadlocked. Convicted in retrial. Died in prison 2021."
Scott Peterson Trial,Modesto California USA,2002-2004,Scott Peterson,Murder of pregnant wife Laci Peterson,Death sentence (commuted 2021),"Peterson was convicted of killing his pregnant wife and dumping her body in the San Francisco Bay. The case was followed obsessively by media. Sentence commuted to life in 2021."
Michael Jackson Trial,Santa Maria California USA,2005,Michael Jackson,Child molestation (7 counts),Not guilty on all counts,"Jackson was accused of molesting a 13-year-old cancer patient. The 4-month trial was a media circus. Acquitted on all 14 counts. Allegations re-emerged after his death."
Robert Blake Trial,Los Angeles California USA,2001-2005,Robert Blake,Murder of wife Bonnie Lee Bakley,Not guilty (criminal) - liable (civil),"Former Baretta actor was accused of shooting his wife outside a restaurant. His bodyguard refused to be a fall guy. Acquitted criminally but found liable in civil trial."
Phil Hartman Murder,Encino California USA,1998,Brynn Hartman,Murder of husband Saturday Night Live comedian Phil Hartman,Suicide - no trial,"Brynn Hartman shot Phil Hartman then killed herself hours later. The case highlighted substance abuse and domestic violence. Their two children were adopted by Phil's brother."
