title,location,date,estimated_deaths,perpetrators,victims,description,outcome
The Holocaust,Europe - Nazi-occupied territories,1941-1945,"6,000,000",Nazi Germany under Adolf Hitler,Jewish people and other minorities,"Systematic state-sponsored genocide targeting Jews, Roma, disabled people, and others. Death camps including Auschwitz, Treblinka, and Sobibor were built. The Nuremberg trials established international law for war crimes.",Nazi leaders tried at Nuremberg. Germany pays ongoing reparations.
Rwandan Genocide,Rwanda Africa,April-July 1994,"500,000-800,000",Hutu extremist government,Tutsi minority and moderate Hutu,"Within 100 days Hutu extremists massacred Tutsi citizens using machetes, guns, and clubs. Radio broadcasts directed killers to specific locations. The UN and international community failed to intervene.",International Criminal Tribunal for Rwanda prosecuted perpetrators.
Cambodian Genocide,Cambodia,1975-1979,"1,500,000-2,000,000",Khmer Rouge under Pol Pot,Educated classes ethnic minorities and religious groups,"Pol Pot emptied cities and forced people into labor camps. Intellectuals were executed. Roughly 25% of Cambodia's entire population was killed in four years.",Khmer Rouge leaders tried decades later. Pol Pot died under house arrest.
Armenian Genocide,Ottoman Empire - modern Turkey,1915-1923,"600,000-1,500,000",Ottoman government and irregular forces,Armenian Christian population,"Armenians were deported across the Syrian desert. Death marches mass shootings and starvation killed hundreds of thousands. Turkey still disputes the genocide classification.",Unresolved - international recognition ongoing
Bosnian Genocide / Srebrenica,Bosnia and Herzegovina,1992-1995,"100,000+",Bosnian Serb forces under Ratko Mladic,Bosnian Muslim (Bosniak) men and boys,"During the Bosnian War Serb forces under Mladic systematically killed over 8000 Bosniak men and boys in Srebrenica alone. The UN declared it Europe's worst atrocity since WWII.",Mladic convicted of genocide in 2017 and sentenced to life.
Darfur Genocide,Darfur Sudan,2003-present,"300,000+",Sudanese government and Janjaweed militias,Non-Arab Sudanese ethnic groups,"The Sudanese government armed Arab militias to attack non-Arab communities. Villages burned entire populations displaced and women systematically raped. ICC issued arrest warrant for President Bashir.",Conflict ongoing. Omar al-Bashir arrested in Sudan in 2019.
The Holodomor,Ukraine Soviet Union,1932-1933,"3,500,000-7,500,000",Soviet government under Joseph Stalin,Ukrainian peasant population,"Stalin deliberately engineered a famine by collectivizing farms and seizing grain. Millions of Ukrainians starved to death. The Soviet Union denied the famine for decades.",Recognized as genocide by Ukraine and many nations. Russia denies.
Guatemalan Genocide,Guatemala,1981-1983,"200,000+",Guatemalan military under Rios Montt,Indigenous Maya population,"Military conducted scorched earth campaigns against Maya villages during civil war. Mass graves found throughout highlands. Rios Montt convicted in 2013 but ruling was overturned.",Truth commission documented atrocities. Partial justice achieved.
Indonesian Mass Killings,Indonesia,1965-1966,"500,000-1,000,000",Indonesian military under Suharto,Suspected Communists and ethnic Chinese,"Following a coup attempt the military and civilian militias killed suspected Communists and their families. Mass graves discovered decades later. CIA provided lists of targets.",Suharto ruled until 1998. No trials. US government complicity documented.
Nanjing Massacre,Nanjing China,December 1937-January 1938,"200,000-300,000",Imperial Japanese Army,Chinese civilians and POWs,"Japanese forces captured Nanjing and engaged in six weeks of mass murder, rape, and looting. Women were systematically raped. The events remain disputed between China and Japan.",Japan-China tensions persist over historical acknowledgment.
